"Exception %s occurred","Fout %s is opgetreden"
"Combination not found.","Postcode & huisnummer combinatie niet gevonden."
"Something went wrong. Please try again.","Er is iets fout gegaan. Probeer het alstublieft opnieuw."
"Postcode.eu API not enabled.","Postcode.eu API niet ingeschakeld."
"Postcode.eu API not configured.","Postcode.eu API niet geconfigureerd."
"Configure your `API key` and `API secret`.","Configureer uw `API key` en` API secret`."
"Cannot connect to Postcode.eu API: Server is missing support for CURL.","Kan geen verbinding maken met Postcode.eu API: Server mist ondersteuning voor CURL."
"Cannot connect to Postcode.eu API: Server is missing SSL (https) support for CURL.","Kan geen verbinding maken met Postcode.eu API: Server mist SSL (https) ondersteuning voor CURL."
"Validate & refresh data","Gegevens valideren en vernieuwen"
"Key or secret are invalid","Key of secret zijn ongeldig"
"Your account is active with name: ","Uw account is actief met de naam: "
"Key is valid but has no access","Key is geldig maar heeft geen toegang"
"Postcode.eu update countries start","Postcode.eu update landen starten"
"Postcode.eu update countries FAILED: ","Postcode.eu update landen MISLUKT: "
"Postcode.eu update countries executed: ","Postcode.eu update landen uitgevoerd: "
"Postcode.eu API Autocomplete","Postcode.eu API Autocomplete"
"Configuration","Configuratie"
"Enabled","Ingeschakeld"
"Dutch address fields behavior","Nederlands adres zoekmethode"
"Address fields behavior in autocomplete","Adresvelden gedrag bij automatisch aanvullen"
"Api key","Api key"
"Api secret","Api secret"
"Account is valid","Account is geldig"
"Supported Countries","Ondersteunde landen"
"Account Name","Accountnaam"
"Advanced Configuration","Geavanceerde configuratie"
"Debug","Debuggen"
"Change address fields position","Verander adres velden positie"
"Only zip code and house number (default)","Alleen postcode en huisnummer (standaard)"
"Free address input","Vrije adresinvoer"
"Show fields","Velden weergeven"
"Disable fields before autocomplete finished","Schakel velden uit voordat het automatisch aanvullen is voltooid"
"Hide fields before autocomplete finished","Verberg velden voordat het automatisch aanvullen is voltooid"
"Hide fields and show a formatted address instead (default)","Verberg velden en toon een opgemaakt adres in plaats van velden (standaard)"
"Your Postcode.eu API licence is invalid.","Uw Postcode.eu API-licentie is ongeldig."
"Check your API credentials.","Controleer uw API credentials."
"Start typing your address or zip/postal code","Begin met het typen van uw adres of postcode"
"Which house number do you mean?","Welk huisnummer bedoelt u?"
"Zip/Postal Code","Postcode"
"House number and addition","Huisnummer en toevoeging"
"- Select house number -","- Selecteer huisnummer -"
"Address not found.","Adres niet gevonden."
"Please enter a valid zip/postal code.","Vul alstublieft een geldige postcode in."
"Please enter a valid house number.","Vul alstublieft een geldig huisnummer in."
"Please enter an address and select it.","Vul alstublieft een adres in en selecteer het."
"An error has occurred while retrieving address data. Please contact us if the problem persists.","Er is een fout opgetreden bij het ophalen van adres gegevens. Neem contact met ons op als het probleem blijft optreden."
"Please select a house number.","Selecteer alstublieft een huisnummer."
"Enter an address","Vul een adres in"
"PO box shipping","Postbus verzending"
"Allow shipping to PO boxes.","Verzenden naar postbussen toestaan."
"Sorry, we cannot ship to a PO Box address.","Sorry, we versturen niet naar een postbus adres."
"Split street address values","Straatadreswaarden splitsen"
"Distribute street address values to available street fields.","Verdeel de straatadreswaarden over de beschikbare straatvelden."
"Address autocomplete","Adres autocomplete"
"Find an address","Zoek een adres"
"City, street or postcode","Plaats, straat of postcode"
"This address is a PO box","Dit adres is een postbus"
"Countries to exclude","Uitgeschakelde landen"
"Selected countries will have Address API disabled.","Voor de geselecteerde landen wordt de Adres API uitgeschakeld."
"Address autocomplete in admin","Adres autocomplete in admin"
"Control address autocomplete behavior for the admin order form.","Beheer het gedrag van adres-autocomplete voor het admin bestelformulier."
"Equal to configuration for checkout","Gelijk aan configuratie voor checkout"
"Use free address input for Dutch address","Gebruik vrije adresinvoer voor Nederlandse adressen"
"Use zip code and house number inputs for Dutch address","Gebruik postcode- en huisnummervelden voor Nederlandse adressen"
"Disabled","Uitgeschakeld"
"Loading…","Laden…"
"Module version","Moduleversie"
"Please update to version %1","Update aub naar versie %1"
"update available","update beschikbaar"
"↻ Refresh API data","↻ API gegevens vernieuwen"
"Module is disabled via configuration.","Module is uitgeschakeld via configuratie."
"API connection","API verbinding"
"Account name","Accountnaam"
"Subscription status","Abonnementsstatus"
"Supported countries","Ondersteunde landen"
"euro","euro"
"Address API","Adres API"
"Address Validation","Adres Validatie"
"Usage at %1%","Verbruik op %1%"
"new","nieuw"
"active","actief"
"invalid key and/or secret","ongeldige key en/of secret"
"inactive","inactief"
"Enter your Postcode.eu API key and secret to connect.","Voer uw Postcode.eu API key en secret in om verbinding te maken."
"The Postcode.eu API is successfully connected.","De Postcode.eu API is succesvol verbonden."
"The API key or secret is incorrect. Please check your credentials.","De API key of secret is onjuist. Controleer uw inloggegevens."
"Your Postcode.eu subscription is inactive. Please log in to your account to resolve this.","Uw Postcode.eu abonnement is inactief. Log in op uw account om dit op te lossen."
"Add manual entry link","Link voor handmatige invoer toevoegen"
"Allows users to skip the autocomplete field and manually enter an address. Enabling this option may lead to invalid addresses. Applicable to free address input only.","Hiermee kunnen gebruikers het veld voor automatisch aanvullen overslaan en handmatig een adres invoeren. Het inschakelen van deze optie kan leiden tot ongeldige adressen. Alleen van toepassing op vrije adresinvoer."

